Event,Date,Venue,City,State/Province,Country,Attendance,EVENT #,PPV,Explanation,Month,Year,Extra Notes
UFC 72: Victory,6/16/2007,The Odyssey,Belfast, Northern Ireland, U.K.,7850,UFC 72,200000,,June,2007,
UFC 73: Stacked,7/7/2007,ARCO Arena,Sacramento, California, U.S.,13183,UFC 73,425000,,July,2007,
UFC 74: Respect,8/25/2007,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11065,UFC 74,520000,,August,2007,
UFC 75: Champion vs. Champion,9/8/2007,The O2 arena,London, England, U.K.,16235,UFC 75,Not Available,Not reported,September,2007,
UFC 76: Knockout,9/22/2007,Honda Center,Anaheim, California, U.S.,13770,UFC 76,475000,,September,2007,
UFC 77: Hostile Territory,10/20/2007,U.S. Bank Arena,Cincinnati, Ohio, U.S.,16054,UFC 77,325000,,October,2007,
UFC 78: Validation,11/17/2007,Prudential Center,Newark, New Jersey, U.S.,14071,UFC 78,325000,,November,2007,
UFC 79: Nemesis,12/29/2007,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11075,UFC 79,650000,,December,2007,
UFC 80: Rapid Fire,1/19/2008,Metro Radio Arena,Newcastle upon Tyne, England, U.K.,8412,UFC 80,225000,,January,2008,
UFC 81: Breaking Point,2/2/2008,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10583,UFC 81,600000,,February,2008,
UFC 82: Pride of a Champion,3/1/2008,Nationwide Arena,Columbus, Ohio, U.S.,16431,UFC 82,325000,,March,2008,
UFC 83: Serra vs. St-Pierre 2,4/19/2008,Bell Centre,Montreal, Quebec, Canada,21390,UFC 83,530000,,April,2008,
UFC 84: Ill Will,5/24/2008,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14773,UFC 84,475000,,May,2008,
UFC 85: Bedlam,6/7/2008,The O2 arena,London, England, U.K.,15327,UFC 85,215000,,June,2008,
UFC 86: Jackson vs. Griffin,7/5/2008,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10990,UFC 86,540000,,July,2008,
UFC 87: Seek and Destroy,8/9/2008,Target Center,Minneapolis, Minnesota, U.S.,15087,UFC 87,625000,,August,2008,
UFC 88: Breakthrough,9/6/2008,Philips Arena,Atlanta, Georgia, U.S.,14736,UFC 88,480000,,September,2008,
UFC 89: Bisping vs. Leben,10/18/2008,National Indoor Arena,Birmingham, England, U.K.,9515,UFC 89,Not Available,Not reported,October,2008,
UFC 90: Silva vs. Côté,10/25/2008,Allstate Arena,Rosemont, Illinois, U.S.,15359,UFC 90,300000,,October,2008,
UFC 91: Couture vs. Lesnar,11/15/2008,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14272,UFC 91,1010000,,November,2008,
UFC 92: The Ultimate 2008,12/27/2008,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14166,UFC 92,1000000,,December,2008,
UFC 93: Franklin vs. Henderson,1/17/2009,The O2,Dublin,N/A, Ireland,9369,UFC 93,350000,,January,2009,
UFC 94: St-Pierre vs. Penn 2,1/31/2009,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14885,UFC 94,920000,,January,2009,
UFC 95: Sanchez vs. Stevenson,2/21/2009,The O2 arena,London, England, U.K.,13268,UFC 95,Not Available,Not reported,February,2009,
UFC 96: Jackson vs. Jardine,3/7/2009,Nationwide Arena,Columbus, Ohio, U.S.,17033,UFC 96,350000,,March,2009,
UFC 97: Redemption,4/18/2009,Bell Centre,Montreal, Quebec, Canada,21451,UFC 97,650000,,April,2009,
UFC 98: Evans vs. Machida,5/23/2009,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12606,UFC 98,635000,,May,2009,
UFC 99: The Comeback,6/13/2009,Lanxess Arena,Cologne,N/A, Germany,12854,UFC 99,360000,,June,2009,
UFC 100,7/11/2009,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10871,UFC 100,1600000,,July,2009,
UFC 101: Declaration,8/8/2009,Wachovia Center,Philadelphia, Pennsylvania, U.S.,17411,UFC 101,850000,,August,2009,
UFC 102: Couture vs. Nogueira,8/29/2009,Rose Garden,Portland, Oregon, U.S.,16088,UFC 102,435000,,August,2009,
UFC 103: Franklin vs. Belfort,9/19/2009,American Airlines Center,Dallas, Texas, U.S.,17428,UFC 103,375000,,September,2009,
UFC 104: Machida vs. Shogun,10/24/2009,Staples Center,Los Angeles, California, U.S.,14892,UFC 104,500000,,October,2009,
UFC 105: Couture vs. Vera,11/14/2009,Manchester Evening News Arena,Manchester, England, U.K.,16693,UFC 105,Not Available,Not reported,November,2009,
UFC 106: Ortiz vs. Griffin 2,11/21/2009,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10529,UFC 106,375000,,November,2009,
UFC 107: Penn vs. Sanchez,12/12/2009,FedExForum,Memphis, Tennessee, U.S.,13896,UFC 107,620000,,December,2009,
UFC 108: Evans vs. Silva,1/2/2010,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13529,UFC 108,300000,,January,2010,
UFC 109: Relentless,2/6/2010,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10753,UFC 109,275000,,February,2010,
UFC 110: Nogueira vs. Velasquez,2/21/2010,Acer Arena,Sydney,N/A, Australia,17831,UFC 110,240000,,February,2010,
UFC 111: St-Pierre vs. Hardy,3/27/2010,Prudential Center,Newark, New Jersey, U.S.,17000,UFC 111,770000,,March,2010,
UFC 112: Invincible,4/10/2010,Yas Island,Abu Dhabi,N/A, United Arab Emirates,11008,UFC 112,500000,,April,2010,
UFC 113: Machida vs. Shogun 2,5/8/2010,Bell Centre,Montreal, Quebec, Canada,17647,UFC 113,520000,,May,2010,
UFC 114: Rampage vs. Evans,5/29/2010,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14996,UFC 114,1000000,,May,2010,
UFC 115: Liddell vs. Franklin,6/12/2010,General Motors Place,Vancouver, British Columbia, Canada,17669,UFC 115,525000,,June,2010,
UFC 116: Lesnar vs. Carwin,7/3/2010,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12740,UFC 116,1060000,,July,2010,
UFC 117: Silva vs. Sonnen,8/7/2010,Oracle Arena,Oakland, California, U.S.,12971,UFC 117,600000,,August,2010,
UFC 118: Edgar vs. Penn 2,8/28/2010,TD Garden,Boston, Massachusetts, U.S.,14168,UFC 118,535000,,August,2010,
UFC 119: Mir vs. Cro Cop,9/25/2010,Conseco Fieldhouse,Indianapolis, Indiana, U.S.,15811,UFC 119,295000,,September,2010,
UFC 120: Bisping vs. Akiyama,10/16/2010,The O2 arena,London, England, U.K.,17133,UFC 120,Not Available,Not reported,October,2010,
UFC 121: Lesnar vs. Velasquez,10/23/2010,Honda Center,Anaheim, California, U.S.,14856,UFC 121,900000,,October,2010,
UFC 122: Marquardt vs. Okami,11/13/2010,König Pilsener Arena,Oberhausen,N/A, Germany,8421,UFC 122,Not Available,Not reported,November,2010,
UFC 123: Rampage vs. Machida,11/20/2010,The Palace of Auburn Hills,Auburn Hills, Michigan, U.S.,16404,UFC 123,500000,,November,2010,
UFC 124: St-Pierre vs. Koscheck 2,12/11/2010,Bell Centre,Montreal, Quebec, Canada,23152,UFC 124,785000,,December,2010,
UFC 125: Resolution,1/1/2011,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12874,UFC 125,260000,,January,2011,
UFC 126: Silva vs. Belfort,2/5/2011,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10893,UFC 126,725000,,February,2011,
UFC 127: Penn vs. Fitch,2/27/2011,Acer Arena,Sydney,N/A, Australia,18186,UFC 127,260000,,February,2011,
UFC 128: Shogun vs. Jones,3/19/2011,Prudential Center,Newark, New Jersey, U.S.,12619,UFC 128,490000,,March,2011,
UFC 129: St-Pierre vs. Shields,4/30/2011,Rogers Centre,Toronto, Ontario, Canada,55724,UFC 129,800000,,April,2011,
UFC 130: Rampage vs. Hamill,5/28/2011,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12753,UFC 130,325000,,May,2011,
UFC 131: dos Santos vs. Carwin,6/11/2011,Rogers Arena,Vancouver, British Columbia, Canada,14685,UFC 131,330000,,June,2011,
UFC 132: Cruz vs. Faber,7/2/2011,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13109,UFC 132,320000,,July,2011,
UFC 133: Evans vs. Ortiz,8/6/2011,Wells Fargo Center,Philadelphia, Pennsylvania, U.S.,11583,UFC 133,310000,,August,2011,
UFC 134: Silva vs. Okami,8/27/2011,HSBC Arena,Rio de Janeiro,N/A, Brazil,14000,UFC 134,335000,,August,2011,
UFC 135: Jones vs. Rampage,9/24/2011,Pepsi Center,Denver, Colorado, U.S.,16344,UFC 135,520000,,September,2011,
UFC 136: Edgar vs. Maynard III,10/8/2011,Toyota Center,Houston, Texas, U.S.,16164,UFC 136,225000,,October,2011,
UFC 137: Penn vs. Diaz,10/29/2011,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10313,UFC 137,280000,,October,2011,
UFC 138: Leben vs. Muñoz,11/5/2011,LG Arena,Birmingham, England, U.K.,10823,UFC 138,Not Available,Not reported,November,2011,UFC GETS A FOX DEAL
UFC 139: Shogun vs. Henderson,11/19/2011,HP Pavilion,San Jose, California, U.S.,13832,UFC 139,290000,,November,2011,
UFC 140: Jones vs. Machida,12/10/2011,Air Canada Centre,Toronto, Ontario, Canada,18303,UFC 140,480000,,December,2011,
UFC 141: Lesnar vs. Overeem,12/30/2011,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13793,UFC 141,535000,,December,2011,
UFC 142: Aldo vs. Mendes,1/14/2012,HSBC Arena,Rio de Janeiro,N/A, Brazil,10605,UFC 142,215000,,January,2012,
