#,Event,Date,Venue,City,State/Province,Country,Attendance,
1,UFC 1: The Beginning,11/12/1993,McNichols Sports Arena,Denver, Colorado, U.S.,7800,
93,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,6/23/2007,Palms Casino Resort,Las Vegas, Nevada, U.S.,N/A,
94,UFC 73: Stacked,7/7/2007,ARCO Arena,Sacramento, California, U.S.,13183,
95,UFC 74: Respect,8/25/2007,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11065,
96,UFC 75: Champion vs. Champion,9/8/2007,The O2 arena,London, England, U.K.,16235,
97,UFC Fight Night: Thomas vs. Florian,9/19/2007,Palms Casino Resort,Las Vegas, Nevada, U.S.,N/A,
98,UFC 76: Knockout,9/22/2007,Honda Center,Anaheim, California, U.S.,13770,
99,UFC 77: Hostile Territory,10/20/2007,U.S. Bank Arena,Cincinnati, Ohio, U.S.,16054,
100,UFC 78: Validation,11/17/2007,Prudential Center,Newark, New Jersey, U.S.,14071,
101,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,12/8/2007,Palms Casino Resort,Las Vegas, Nevada, U.S.,N/A,
102,UFC 79: Nemesis,12/29/2007,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11075,
103,UFC 80: Rapid Fire,1/19/2008,Metro Radio Arena,Newcastle upon Tyne, England, U.K.,8412,
104,UFC Fight Night: Swick vs. Burkman,1/23/2008,Palms Casino Resort,Las Vegas, Nevada, U.S.,1900,
105,UFC 81: Breaking Point,2/2/2008,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10583,
106,UFC 82: Pride of a Champion,3/1/2008,Nationwide Arena,Columbus, Ohio, U.S.,16431,
107,UFC Fight Night: Florian vs. Lauzon,4/2/2008,Broomfield Event Center,Broomfield, Colorado, U.S.,6742,
108,UFC 83: Serra vs. St-Pierre 2,4/19/2008,Bell Centre,Montreal, Quebec, Canada,21390,
109,UFC 84: Ill Will,5/24/2008,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14773,
110,UFC 85: Bedlam,6/7/2008,The O2 arena,London, England, U.K.,15327,
111,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,6/21/2008,Palms Casino Resort,Las Vegas, Nevada, U.S.,1853,
112,UFC 86: Jackson vs. Griffin,7/5/2008,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10990,
113,UFC Fight Night: Silva vs. Irvin,7/19/2008,Palms Casino Resort,Las Vegas, Nevada, U.S.,2071,
